,Age,Industry,Salary,Currency,Country,State,Years Total,Years Specific,Education,Gender,Race,Senority
15668,25-34,Computing or Tech,87111,USD,Australia,,8 - 10 years,8 - 10 years,College degree,Man,White,Mid Level
15669,25-34,Nonprofits,53000,USD,United States,New York,2 - 4 years,2 - 4 years,College degree,Woman,White,Mid Level
15670,25-34,"Accounting, Banking & Finance",48000,USD,United States,Minnesota,8 - 10 years,2 - 4 years,Some college,Man,White,Mid Level
15671,25-34,"Marketing, Advertising & PR",43245,USD,United Kingdom,,5-7 years,2 - 4 years,College degree,Woman,White,Managerial Level
15672,25-34,Computing or Tech,52148,USD,United States,,8 - 10 years,2 - 4 years,College degree,Man,White,Managerial Level
15673,18-24,"Marketing, Advertising & PR",74000,USD,United States,California,2 - 4 years,2 - 4 years,College degree,Woman,White,Mid Level
15674,25-34,Education (Higher Education),115000,USD,United States,Massachusetts,8 - 10 years,8 - 10 years,Master's degree,Woman,White,Executive Level
15675,45-54,Transport or Logistics,52166,USD,Ireland,,31 - 40 years,8 - 10 years,Some college,Woman,White,Mid Level
15676,35-44,"Marketing, Advertising & PR",40000,USD,United States,Washington,8 - 10 years,5-7 years,College degree,Woman,White,Mid Level
15677,35-44,Nonprofits,145000,USD,United States,Texas,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Executive Level
15679,25-34,Utilities & Telecommunications,55000,USD,United States,Texas,5-7 years,2 - 4 years,College degree,Woman,White,Mid Level
15680,25-34,"Marketing, Advertising & PR",62999,USD,United States,Illinois,2 - 4 years,2 - 4 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",Senior Level
15681,35-44,Education (Higher Education),82404,USD,United States,California,11 - 20 years,11 - 20 years,College degree,Woman,White,Executive Level
15682,55-64,Nonprofits,70000,USD,United States,Massachusetts,21 - 30 years,11 - 20 years,PhD,Man,White,Executive Level
15683,35-44,Art & Design,157000,USD,United States,Illinois,11 - 20 years,11 - 20 years,College degree,Woman,White,Mid Level
15684,35-44,Health care,226000,USD,United States,Minnesota,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White,Executive Level
15685,18-24,Education (Primary/Secondary),48000,USD,United States,Colorado,1 year or less,1 year or less,Master's degree,Woman,White,Mid Level
15686,25-34,Art & Design,79500,USD,United States,New York,5-7 years,5-7 years,College degree,Woman,Asian or Asian American,Executive Level
15687,35-44,Computing or Tech,115100,USD,United States,South Carolina,11 - 20 years,2 - 4 years,College degree,Woman,Black or African American,Mid Level
15689,25-34,Media & Digital,45000,USD,United States,Idaho,8 - 10 years,5-7 years,College degree,Man,White,Mid Level
15690,25-34,Business or Consulting,89000,USD,United States,District of Columbia,2 - 4 years,2 - 4 years,College degree,Woman,White,Executive Level
15691,25-34,Computing or Tech,98000,USD,United States,Illinois,5-7 years,5-7 years,College degree,Man,White,Mid Level
15692,35-44,Media & Digital,69955,USD,United Kingdom,,5-7 years,5-7 years,PhD,Woman,White,Mid Level
15693,25-34,Business or Consulting,145000,USD,United States,Illinois,2 - 4 years,2 - 4 years,College degree,Woman,White,Mid Level
15694,25-34,Education (Higher Education),80000,USD,United States,Massachusetts,11 - 20 years,5-7 years,Master's degree,Woman,White,Managerial Level
15697,35-44,Government and Public Administration,36885,USD,United States,,11 - 20 years,11 - 20 years,College degree,Man,White,Managerial Level
15698,25-34,Law,105060,USD,United States,Oklahoma,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Man,Native American or Alaska Native,Junior Level
15699,35-44,Health care,65336,USD,United States,Texas,11 - 20 years,1 year or less,College degree,Woman,Black or African American,Mid Level
15700,25-34,Health care,78500,USD,United States,Washington,2 - 4 years,2 - 4 years,College degree,Non-binary,White,Mid Level
15701,18-24,Computing or Tech,88550,USD,United States,North Carolina,2 - 4 years,2 - 4 years,College degree,Woman,White,Junior Level
15702,25-34,Computing or Tech,80000,USD,United States,Colorado,5-7 years,2 - 4 years,College degree,Man,White,Mid Level
15704,35-44,Engineering or Manufacturing,75000,USD,United States,California,11 - 20 years,5-7 years,College degree,Woman,White,Mid Level
15705,25-34,"Marketing, Advertising & PR",54000,USD,United States,Oregon,8 - 10 years,8 - 10 years,College degree,Woman,White,Managerial Level
15706,35-44,Computing or Tech,120000,USD,United States,Washington,11 - 20 years,11 - 20 years,College degree,Man,Asian or Asian American,Senior Level
15707,35-44,Computing or Tech,64535,USD,Spain,,21 - 30 years,21 - 30 years,Master's degree,Man,"Hispanic, Latino, or Spanish origin",Senior Level
15708,45-54,"Accounting, Banking & Finance",160000,USD,United States,Missouri,21 - 30 years,11 - 20 years,Some college,Man,White,Mid Level
15709,45-54,Hospitality & Events,45000,USD,United States,Colorado,21 - 30 years,2 - 4 years,Some college,Woman,White,Managerial Level
15710,25-34,Hospitality & Events,45700,USD,United States,Minnesota,5-7 years,5-7 years,College degree,Woman,White,Mid Level
15711,45-54,Education (Higher Education),103000,USD,United States,Minnesota,21 - 30 years,21 - 30 years,College degree,Non-binary,Asian or Asian American,Managerial Level
15713,35-44,Engineering or Manufacturing,114000,USD,United States,New York,11 - 20 years,8 - 10 years,College degree,Woman,White,Executive Level
15714,18-24,Property or Construction,38157,USD,United States,,2 - 4 years,1 year or less,College degree,Woman,Black or African American,Mid Level
15715,25-34,Computing or Tech,130000,USD,United States,Oklahoma,11 - 20 years,11 - 20 years,College degree,Man,White,Mid Level
15716,25-34,Business or Consulting,106979,USD,Australia,,5-7 years,5-7 years,College degree,Man,Asian or Asian American,Managerial Level
15717,35-44,Education (Higher Education),39106,USD,United States,,11 - 20 years,2 - 4 years,College degree,Woman,White,Mid Level
15718,25-34,Computing or Tech,62000,USD,United States,Texas,2 - 4 years,2 - 4 years,College degree,Man,"Hispanic, Latino, or Spanish origin",Managerial Level
15719,25-34,Government and Public Administration,80000,USD,United States,Utah,8 - 10 years,5-7 years,College degree,Man,White,Mid Level
15720,25-34,Media & Digital,43602,USD,United States,,11 - 20 years,8 - 10 years,College degree,Man,White,Senior Level
15721,25-34,Education (Higher Education),34977,USD,United Kingdom,,11 - 20 years,11 - 20 years,Some college,Man,White,Mid Level
15723,35-44,Education (Higher Education),50073,USD,United States,Oregon,11 - 20 years,11 - 20 years,College degree,Woman,White,Managerial Level
15724,25-34,Computing or Tech,148000,USD,United States,Illinois,11 - 20 years,8 - 10 years,Master's degree,Man,White,Senior Level
15725,25-34,"Accounting, Banking & Finance",75000,USD,United States,Georgia,2 - 4 years,2 - 4 years,Master's degree,Man,White,Mid Level
15726,25-34,Nonprofits,47500,USD,United States,Illinois,5-7 years,2 - 4 years,College degree,Man,White,Mid Level
15727,25-34,Computing or Tech,54000,USD,United States,Virginia,5-7 years,5-7 years,Some college,Man,White,Mid Level
15728,55-64,Computing or Tech,171000,USD,United States,California,41 years or more,21 - 30 years,College degree,Man,White,Managerial Level
15729,25-34,"Marketing, Advertising & PR",44678,USD,United States,Missouri,8 - 10 years,8 - 10 years,College degree,Man,White,Mid Level
15730,25-34,Education (Higher Education),77500,USD,United States,Massachusetts,8 - 10 years,11 - 20 years,PhD,Woman,White,Mid Level
15731,25-34,Computing or Tech,109000,USD,United States,Texas,8 - 10 years,5-7 years,College degree,Man,White,Senior Level
15732,18-24,Business or Consulting,7639,USD,Nigeria,,2 - 4 years,2 - 4 years,College degree,Man,Black or African American,Senior Level
15733,45-54,Education (Higher Education),74000,USD,United States,Massachusetts,21 - 30 years,21 - 30 years,College degree,Man,White,Executive Level
15734,35-44,Government and Public Administration,42240,USD,United States,Illinois,11 - 20 years,2 - 4 years,College degree,Woman,White,Mid Level
15735,25-34,"Marketing, Advertising & PR",40701,USD,United Kingdom,,8 - 10 years,2 - 4 years,College degree,Non-binary,White,Executive Level
15736,35-44,"Marketing, Advertising & PR",65300,USD,United States,Washington,11 - 20 years,8 - 10 years,College degree,Man,White,Managerial Level
15737,35-44,Computing or Tech,352000,USD,United States,Massachusetts,11 - 20 years,11 - 20 years,Some college,Man,White,Senior Level
15738,25-34,Government and Public Administration,67583,USD,United States,,2 - 4 years,2 - 4 years,Master's degree,Man,White,Mid Level
15739,25-34,Computing or Tech,40000,USD,United States,California,8 - 10 years,2 - 4 years,College degree,Man,White,Mid Level
15740,25-34,Health care,125999,USD,United States,Florida,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,White,Mid Level
15741,35-44,Computing or Tech,101739,USD,United States,,11 - 20 years,11 - 20 years,College degree,Man,White,Mid Level
15742,35-44,"Accounting, Banking & Finance",135000,USD,United States,Kansas,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Managerial Level
15743,25-34,Computing or Tech,165000,USD,United States,Massachusetts,5-7 years,5-7 years,College degree,Man,"Hispanic, Latino, or Spanish origin",Senior Level
15744,25-34,"Marketing, Advertising & PR",69500,USD,United States,California,5-7 years,2 - 4 years,College degree,Man,White,Managerial Level
15745,35-44,Hospitality & Events,78500,USD,United States,New Jersey,11 - 20 years,11 - 20 years,College degree,Woman,White,Mid Level
15746,45-54,"Accounting, Banking & Finance",90306,USD,United States,,21 - 30 years,21 - 30 years,College degree,Man,White,Managerial Level
15747,25-34,Computing or Tech,69955,USD,United Kingdom,,5-7 years,2 - 4 years,College degree,Woman,White,Mid Level
15748,25-34,Government and Public Administration,56791,USD,Belgium,,5-7 years,2 - 4 years,Master's degree,Woman,White,Mid Level
15749,45-54,"Marketing, Advertising & PR",155000,USD,United States,New York,8 - 10 years,8 - 10 years,College degree,Woman,Black or African American,Managerial Level
15750,25-34,Government and Public Administration,34112,USD,United States,North Carolina,8 - 10 years,2 - 4 years,College degree,Man,White,Mid Level
15751,35-44,Nonprofits,60000,USD,United States,Colorado,11 - 20 years,11 - 20 years,Some college,Man,White,Mid Level
15752,35-44,Media & Digital,110000,USD,United States,Ohio,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man,White,Managerial Level
15753,18-24,Business or Consulting,39520,USD,United States,Florida,2 - 4 years,1 year or less,College degree,Non-binary,Asian or Asian American,Junior Level
15754,25-34,Health care,80669,USD,Ireland,,8 - 10 years,8 - 10 years,College degree,Woman,White,Managerial Level
15755,35-44,Health care,50000,USD,United States,New York,11 - 20 years,2 - 4 years,Master's degree,Man,White,Mid Level
15756,25-34,Computing or Tech,152461,USD,United States,Washington,5-7 years,5-7 years,College degree,Woman,White,Mid Level
15757,25-34,Nonprofits,57236,USD,United Kingdom,,8 - 10 years,5-7 years,College degree,Woman,White,Managerial Level
15758,25-34,Property or Construction,44000,USD,United States,Georgia,2 - 4 years,2 - 4 years,High School,Woman,White,Managerial Level
15759,45-54,Law,39820,USD,United States,New York,21 - 30 years,21 - 30 years,Some college,Woman,White,Mid Level
15760,35-44,Sales,85000,USD,United States,California,11 - 20 years,5-7 years,College degree,Woman,Black or African American,Managerial Level
15761,35-44,"Accounting, Banking & Finance",36800,USD,United States,,11 - 20 years,8 - 10 years,College degree,Man,"Hispanic, Latino, or Spanish origin",Mid Level
15762,25-34,Art & Design,79500,USD,United States,New York,5-7 years,5-7 years,College degree,Woman,Asian or Asian American,Executive Level
15763,35-44,Business or Consulting,185000,USD,United States,Washington,11 - 20 years,11 - 20 years,College degree,Man,White,Executive Level
15764,45-54,Education (Higher Education),101000,USD,United States,Pennsylvania,11 - 20 years,11 - 20 years,PhD,,Asian or Asian American,Junior Level
15765,35-44,Education (Higher Education),96000,USD,United States,Minnesota,11 - 20 years,11 - 20 years,PhD,Woman,White,Managerial Level
15766,35-44,Business or Consulting,85218,USD,United States,,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Mid Level
15767,35-44,Health care,23148,USD,United Kingdom,,8 - 10 years,2 - 4 years,High School,Woman,White,Mid Level
15768,25-34,"Marketing, Advertising & PR",37963,USD,Sweden,,11 - 20 years,8 - 10 years,College degree,Woman,White,Mid Level
15769,18-24,Nonprofits,32000,USD,United States,Washington,2 - 4 years,1 year or less,College degree,Man,Another option not listed here or prefer not to answer,Mid Level
15770,25-34,Retail,25450,USD,United States,South Carolina,11 - 20 years,2 - 4 years,Some college,Woman,White,Mid Level
15771,25-34,Health care,68000,USD,United States,New Jersey,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,Mid Level
15772,35-44,Computing or Tech,313000,USD,United States,Massachusetts,11 - 20 years,11 - 20 years,Master's degree,Man,White,Managerial Level
15773,25-34,"Accounting, Banking & Finance",34341,USD,United Kingdom,,8 - 10 years,5-7 years,College degree,Woman,White,Managerial Level
15775,35-44,Law,55000,USD,United States,Colorado,11 - 20 years,11 - 20 years,Some college,Woman,White,Mid Level
15776,35-44,Computing or Tech,50876,USD,United Kingdom,,8 - 10 years,8 - 10 years,Master's degree,Non-binary,White,Mid Level
15778,35-44,Computing or Tech,113000,USD,United States,Texas,11 - 20 years,11 - 20 years,Master's degree,Man,White,Senior Level
15779,25-34,Media & Digital,23000,USD,United States,,2 - 4 years,2 - 4 years,College degree,Man,White,Mid Level
15780,25-34,Nonprofits,82000,USD,United States,New York,5-7 years,2 - 4 years,Master's degree,Woman,White,Mid Level
15781,18-24,Art & Design,8394,USD,United Kingdom,,2 - 4 years,2 - 4 years,College degree,Man,White,Mid Level
15782,25-34,"Accounting, Banking & Finance",250714,USD,United States,,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American,Executive Level
15783,35-44,Insurance,77500,USD,United States,Iowa,21 - 30 years,11 - 20 years,Master's degree,Man,White,Mid Level
15785,25-34,Education (Primary/Secondary),44517,USD,United Kingdom,,5-7 years,5-7 years,College degree,Man,White,Managerial Level
15786,25-34,Insurance,82500,USD,United States,Ohio,5-7 years,2 - 4 years,College degree,Man,White,Senior Level
15789,35-44,Education (Higher Education),123000,USD,United States,Massachusetts,11 - 20 years,8 - 10 years,Master's degree,Man,White,Executive Level
15790,25-34,Computing or Tech,145000,USD,United States,Oregon,11 - 20 years,2 - 4 years,College degree,Woman,Another option not listed here or prefer not to answer,Mid Level
15791,25-34,Engineering or Manufacturing,90201,USD,United States,Washington,8 - 10 years,5-7 years,College degree,Man,White,Mid Level
15792,25-34,Property or Construction,43965,USD,United States,,2 - 4 years,2 - 4 years,Master's degree,Man,White,Mid Level
15793,25-34,Business or Consulting,55000,USD,United States,Illinois,2 - 4 years,1 year or less,College degree,Man,White,Mid Level
15794,45-54,Computing or Tech,200000,USD,United States,California,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man,Asian or Asian American,Mid Level
15795,25-34,Entertainment,22947,USD,United States,Alabama,8 - 10 years,2 - 4 years,College degree,Non-binary,White,Mid Level
15796,25-34,Entertainment,80000,USD,United States,Washington,8 - 10 years,2 - 4 years,College degree,Woman,White,Mid Level
15797,25-34,Education (Higher Education),70000,USD,United States,Washington,11 - 20 years,8 - 10 years,College degree,Man,White,Mid Level
15798,25-34,Computing or Tech,110000,USD,United States,Colorado,5-7 years,5-7 years,College degree,Man,"Hispanic, Latino, or Spanish origin",Mid Level
15799,35-44,Engineering or Manufacturing,75000,USD,United States,Michigan,11 - 20 years,11 - 20 years,College degree,Man,White,Mid Level
15800,35-44,Retail,59000,USD,Switzerland,,11 - 20 years,2 - 4 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",Mid Level
15801,25-34,Computing or Tech,75000,USD,United States,Oregon,8 - 10 years,2 - 4 years,College degree,Man,White,Mid Level
15803,35-44,Computing or Tech,91425,USD,Netherlands,,5-7 years,5-7 years,PhD,Woman,White,Senior Level
15804,25-34,Transport or Logistics,83946,USD,United States,,5-7 years,2 - 4 years,College degree,Woman,White,Managerial Level
15805,25-34,Social Work,43000,USD,United States,New York,1 year or less,2 - 4 years,Master's degree,Woman,White,Mid Level
15806,35-44,Education (Higher Education),55017,USD,Australia,,11 - 20 years,8 - 10 years,Master's degree,Woman,White,Mid Level
15807,18-24,Retail,36000,USD,United States,North Carolina,8 - 10 years,5-7 years,College degree,Woman,White,Managerial Level
15808,25-34,"Marketing, Advertising & PR",49477,USD,United States,,8 - 10 years,8 - 10 years,Some college,Woman,White,Managerial Level
15809,25-34,Computing or Tech,136600,USD,United States,Utah,8 - 10 years,2 - 4 years,Some college,Man,"Hispanic, Latino, or Spanish origin",Mid Level
15810,25-34,Media & Digital,73000,USD,United States,Florida,5-7 years,8 - 10 years,College degree,Man,"Hispanic, Latino, or Spanish origin",Mid Level
15811,35-44,Health care,34112,USD,United States,Missouri,11 - 20 years,5-7 years,Some college,Woman,White,Mid Level
15812,45-54,Computing or Tech,220000,USD,United States,Massachusetts,8 - 10 years,8 - 10 years,Master's degree,Man,White,Managerial Level
15813,18-24,Media & Digital,49920,USD,United States,Texas,5-7 years,1 year or less,College degree,Woman,"Hispanic, Latino, or Spanish origin",Mid Level
15814,25-34,Computing or Tech,38600,USD,Spain,,2 - 4 years,2 - 4 years,College degree,Man,"Hispanic, Latino, or Spanish origin",Mid Level
15815,35-44,Hospitality & Events,61000,USD,United States,Louisiana,11 - 20 years,8 - 10 years,College degree,Woman,White,Managerial Level
15816,25-34,Social Work,39000,USD,United States,Massachusetts,5-7 years,2 - 4 years,College degree,Woman,White,Mid Level
15817,35-44,"Accounting, Banking & Finance",661398,USD,United Kingdom,,11 - 20 years,11 - 20 years,College degree,Man,White,Executive Level
15818,25-34,Education (Primary/Secondary),61500,USD,United States,Massachusetts,8 - 10 years,5-7 years,College degree,Man,White,Mid Level
15819,35-44,Nonprofits,80164,USD,United States,New York,11 - 20 years,11 - 20 years,College degree,Man,White,Executive Level
15820,18-24,Education (Primary/Secondary),24293,USD,United Kingdom,,1 year or less,1 year or less,College degree,Woman,White,Senior Level
15821,25-34,Nonprofits,57000,USD,United States,New York,5-7 years,5-7 years,College degree,Woman,Asian or Asian American,Mid Level
15822,45-54,"Marketing, Advertising & PR",185000,USD,United States,New York,11 - 20 years,11 - 20 years,College degree,Woman,White,Executive Level
15823,35-44,Computing or Tech,47500,USD,United States,California,11 - 20 years,5-7 years,Some college,Woman,White,Junior Level
15824,25-34,Nonprofits,44000,USD,United States,New York,8 - 10 years,1 year or less,College degree,Woman,White,Managerial Level
15825,45-54,Education (Higher Education),98000,USD,United States,Minnesota,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Executive Level
15826,35-44,Nonprofits,72000,USD,United States,District of Columbia,11 - 20 years,8 - 10 years,Master's degree,Woman,White,Managerial Level
15827,25-34,Nonprofits,65000,USD,United States,Minnesota,11 - 20 years,8 - 10 years,Master's degree,Woman,White,Executive Level
15828,45-54,Health care,174000,USD,United States,Colorado,21 - 30 years,21 - 30 years,College degree,Man,White,Executive Level
15829,25-34,Computing or Tech,59780,USD,United States,,5-7 years,5-7 years,College degree,Man,White,Senior Level
15830,45-54,Computing or Tech,110000,USD,United States,Minnesota,31 - 40 years,31 - 40 years,College degree,Woman,White,Managerial Level
15831,25-34,Education (Higher Education),50000,USD,United States,Massachusetts,5-7 years,5-7 years,PhD,Woman,Another option not listed here or prefer not to answer,Mid Level
15832,35-44,Media & Digital,59500,USD,United States,Arizona,21 - 30 years,11 - 20 years,Master's degree,Woman,White,Mid Level
15834,25-34,Entertainment,24000,USD,United States,Texas,8 - 10 years,5-7 years,College degree,Man,White,Managerial Level
15835,35-44,Media & Digital,79495,USD,United Kingdom,,11 - 20 years,11 - 20 years,College degree,Man,White,Executive Level
15836,35-44,Computing or Tech,275000,USD,United States,California,11 - 20 years,11 - 20 years,College degree,Man,Black or African American,Mid Level
15837,35-44,"Accounting, Banking & Finance",81650,USD,United States,Missouri,8 - 10 years,8 - 10 years,College degree,Man,White,Mid Level
15838,25-34,Engineering or Manufacturing,99000,USD,United States,Texas,5-7 years,5-7 years,College degree,Man,White,Managerial Level
15839,25-34,Computing or Tech,169000,USD,United States,California,5-7 years,5-7 years,College degree,Woman,White,Mid Level
15840,25-34,Computing or Tech,73140,USD,Germany,,8 - 10 years,8 - 10 years,Master's degree,Man,White,Senior Level
15842,35-44,Government and Public Administration,190000,USD,United States,Oregon,11 - 20 years,5-7 years,Master's degree,Woman,White,Managerial Level
15843,35-44,Computing or Tech,100260,USD,United States,California,21 - 30 years,21 - 30 years,College degree,Woman,White,Mid Level
15844,35-44,Education (Higher Education),75000,USD,United States,North Carolina,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Mid Level
15845,25-34,Engineering or Manufacturing,129851,USD,United States,,11 - 20 years,5-7 years,Master's degree,Woman,Black or African American,Mid Level
15846,35-44,Art & Design,319000,USD,United States,Washington,11 - 20 years,11 - 20 years,College degree,Man,White,Senior Level
15847,35-44,Business or Consulting,85000,USD,United States,California,11 - 20 years,5-7 years,College degree,Man,White,Junior Level
15848,25-34,Nonprofits,77000,USD,United States,California,2 - 4 years,2 - 4 years,Master's degree,Woman,White,Executive Level
15850,18-24,"Accounting, Banking & Finance",36650,USD,United States,Texas,2 - 4 years,1 year or less,College degree,Woman,White,Managerial Level
15851,35-44,Hospitality & Events,4000,USD,United States,Oregon,11 - 20 years,8 - 10 years,College degree,Man,White,Managerial Level
15852,35-44,Education (Higher Education),45000,USD,United States,West Virginia,11 - 20 years,2 - 4 years,College degree,Man,White,Mid Level
15853,35-44,Computing or Tech,151200,USD,United States,Washington,11 - 20 years,2 - 4 years,College degree,Woman,White,Managerial Level
15854,25-34,"Marketing, Advertising & PR",84000,USD,United States,Washington,5-7 years,2 - 4 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",Senior Level
15855,35-44,Entertainment,54000,USD,United States,New York,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Managerial Level
15856,25-34,Government and Public Administration,91605,USD,United States,Maryland,8 - 10 years,8 - 10 years,Master's degree,Woman,Black or African American,Executive Level
15857,25-34,Nonprofits,39620,USD,United Kingdom,,11 - 20 years,1 year or less,PhD,Woman,White,Mid Level
15858,25-34,Education (Higher Education),40000,USD,United States,Texas,5-7 years,5-7 years,Master's degree,Woman,White,Mid Level
15859,25-34,Computing or Tech,135000,USD,United States,California,5-7 years,5-7 years,Some college,Non-binary,Asian or Asian American,Mid Level
15860,25-34,"Accounting, Banking & Finance",89000,USD,United States,Texas,8 - 10 years,5-7 years,College degree,Woman,White,Executive Level
15861,35-44,"Accounting, Banking & Finance",78859,USD,United Kingdom,,21 - 30 years,11 - 20 years,College degree,Woman,White,Managerial Level
15862,18-24,Nonprofits,31257,USD,United States,California,2 - 4 years,2 - 4 years,College degree,Other or prefer not to answer,Asian or Asian American,Managerial Level
15863,35-44,Retail,115000,USD,United States,Illinois,11 - 20 years,8 - 10 years,Master's degree,Woman,White,Mid Level
15864,35-44,"Accounting, Banking & Finance",134823,USD,United Kingdom,,11 - 20 years,8 - 10 years,College degree,Man,White,Managerial Level
15865,25-34,Education (Higher Education),58000,USD,United States,Oregon,5-7 years,5-7 years,Master's degree,Non-binary,White,Managerial Level
15866,35-44,Government and Public Administration,144000,USD,United States,District of Columbia,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Man,White,Mid Level
15869,25-34,Health care,88000,USD,United States,Pennsylvania,1 year or less,1 year or less,Master's degree,Woman,White,Mid Level
15870,35-44,"Marketing, Advertising & PR",76315,USD,United Kingdom,,21 - 30 years,8 - 10 years,Master's degree,Woman,White,Managerial Level
15871,35-44,Computing or Tech,193331,USD,United Kingdom,,11 - 20 years,11 - 20 years,College degree,Man,White,Managerial Level
15872,25-34,Recruitment or HR,114472,USD,United Kingdom,,5-7 years,5-7 years,College degree,Woman,Asian or Asian American,Managerial Level
15873,45-54,Education (Higher Education),60000,USD,United States,Minnesota,21 - 30 years,21 - 30 years,Some college,Non-binary,White,Executive Level
15875,45-54,Engineering or Manufacturing,125000,USD,United States,Texas,21 - 30 years,21 - 30 years,Master's degree,Man,White,Mid Level
15876,25-34,Computing or Tech,92214,USD,United Kingdom,,5-7 years,5-7 years,College degree,Man,White,Managerial Level
15877,25-34,Sales,51280,USD,United States,Texas,2 - 4 years,1 year or less,College degree,Woman,White,Mid Level
15878,35-44,Health care,47415,USD,United States,Colorado,11 - 20 years,11 - 20 years,College degree,Woman,White,Mid Level
15879,35-44,Engineering or Manufacturing,100000,USD,United States,Massachusetts,11 - 20 years,5-7 years,College degree,Man,White,Mid Level
15880,35-44,Computing or Tech,112937,USD,Austria,,5-7 years,2 - 4 years,High School,Woman,White,Managerial Level
15881,25-34,Computing or Tech,290000,USD,United States,Texas,11 - 20 years,11 - 20 years,Master's degree,Man,White,Senior Level
15882,35-44,Education (Higher Education),85000,USD,United States,Michigan,11 - 20 years,8 - 10 years,PhD,Man,White,Senior Level
15883,35-44,Computing or Tech,168000,USD,United States,Minnesota,21 - 30 years,21 - 30 years,Master's degree,Man,White,Managerial Level
15884,35-44,Nonprofits,53420,USD,United Kingdom,,11 - 20 years,11 - 20 years,College degree,Man,White,Executive Level
15885,25-34,Computing or Tech,240100,USD,United States,California,5-7 years,5-7 years,PhD,Man,White,Mid Level
15886,35-44,"Accounting, Banking & Finance",80600,USD,United States,California,11 - 20 years,2 - 4 years,College degree,Woman,White,Mid Level
15887,25-34,Computing or Tech,106742,USD,United States,Colorado,8 - 10 years,8 - 10 years,Some college,Man,White,Mid Level
15888,25-34,Computing or Tech,43500,USD,United States,Kentucky,5-7 years,5-7 years,College degree,Other or prefer not to answer,White,Mid Level
15889,18-24,Computing or Tech,48332,USD,United States,,2 - 4 years,2 - 4 years,College degree,Man,White,Senior Level
15890,35-44,Computing or Tech,108876,USD,United States,,11 - 20 years,8 - 10 years,College degree,Woman,White,Managerial Level
15891,25-34,Engineering or Manufacturing,100000,USD,United States,Illinois,5-7 years,5-7 years,Master's degree,Woman,White,Mid Level
15892,35-44,Business or Consulting,83574,USD,Germany,,11 - 20 years,11 - 20 years,Master's degree,Man,White,Mid Level
15893,45-54,Retail,29000,USD,United States,Kentucky,21 - 30 years,11 - 20 years,College degree,Woman,White,Managerial Level
15894,25-34,Recruitment or HR,66500,USD,United States,Colorado,5-7 years,2 - 4 years,College degree,Man,White,Mid Level
15897,25-34,Media & Digital,94652,USD,Netherlands,,8 - 10 years,8 - 10 years,College degree,Man,"Hispanic, Latino, or Spanish origin",Managerial Level
15898,25-34,Education (Higher Education),37062,USD,United States,,5-7 years,5-7 years,College degree,Woman,White,Mid Level
15899,25-34,Government and Public Administration,53420,USD,United States,,11 - 20 years,8 - 10 years,College degree,Man,White,Managerial Level
15900,35-44,"Accounting, Banking & Finance",103000,USD,United States,Maryland,11 - 20 years,11 - 20 years,College degree,Man,White,Managerial Level
15901,55-64,Media & Digital,33428,USD,United States,,41 years or more,41 years or more,College degree,Woman,White,Mid Level
15902,25-34,Education (Higher Education),37500,USD,United States,Pennsylvania,8 - 10 years,5-7 years,Master's degree,Woman,White,Mid Level
15904,25-34,Transport or Logistics,34341,USD,United Kingdom,,5-7 years,2 - 4 years,Master's degree,Woman,White,Mid Level
15905,25-34,Engineering or Manufacturing,80000,USD,United States,Michigan,5-7 years,5-7 years,College degree,Man,White,Mid Level
15906,25-34,Computing or Tech,102181,USD,Ireland,,8 - 10 years,8 - 10 years,Some college,Woman,White,Mid Level
15907,25-34,Computing or Tech,280000,USD,United States,Washington,8 - 10 years,8 - 10 years,College degree,Woman,Asian or Asian American,Senior Level
15909,25-34,"Accounting, Banking & Finance",64000,USD,United States,Illinois,11 - 20 years,5-7 years,College degree,Man,Asian or Asian American,Mid Level
15910,45-54,Law,125000,USD,United States,Virginia,21 - 30 years,21 - 30 years,Some college,Woman,White,Managerial Level
15911,25-34,"Marketing, Advertising & PR",32701,USD,United States,,8 - 10 years,2 - 4 years,College degree,Man,White,Mid Level
15912,25-34,Art & Design,81000,USD,United States,Massachusetts,8 - 10 years,5-7 years,Master's degree,Woman,White,Mid Level
15913,25-34,Computing or Tech,47840,USD,United States,Iowa,11 - 20 years,2 - 4 years,College degree,Woman,White,Mid Level
